Chromosome	Start	End	Strand	Gene	Transcription_Start_Site	Transcript_type
chr14	15474594	15475087	-	LOC116184173	15474594	lncRNA
chr14	15484583	15511388	+	PPL	15484583	protein_coding
chr14	15512043	15539825	-	UBN1	15512043	
chr14	15542457	15546818	-	LOC110470199	15542457	protein_coding
chr14	15546141	15555309	+	LOC116184164	15546141	lncRNA
chr14	15557025	15563311	-	SPSB3	15557025	protein_coding
chr14	15566164	15570671	+	NUBP2	15566164	protein_coding
chr14	15571515	15574388	-	IGFALS	15571515	protein_coding
chr14	15581011	15597328	+	CCDC78	15581011	protein_coding
chr14	15597201	15603889	-	ANTKMT	15597201	protein_coding
chr14	15606994	15611420	-	METRN	15606994	
chr14	15618403	15632177	+	FBXL16	15618403	
chr14	15633688	15641497	+	WDR24	15633688	protein_coding
chr14	15641716	15643928	+	JMJD8	15641716	protein_coding
chr14	15644018	15647907	-	STUB1	15644018	protein_coding
chr14	15648978	15655089	-	RHBDL1	15648978	protein_coding
chr14	15657665	15670605	-	RHOT2	15657665	protein_coding
chr14	15670666	15702550	-	WDR90	15670666	
chr14	15703586	15727986	-	CFAP70	15703586	protein_coding
chr14	15728090	15731567	+	MSS51	15728090	protein_coding
chr14	15731570	15737741	-	LOC110470237	15731570	protein_coding
chr14	15740636	15742037	-	LOC110470225	15740636	protein_coding
chr14	15742462	15748642	-	SEPTIN12	15742462	protein_coding
chr14	15757244	15848465	-	RAB11FIP3	15757244	protein_coding
chr14	15850903	15858445	-	DECR2	15850903	protein_coding
chr14	15859882	15862189	-	LOC110482680	15859882	protein_coding
chr14	15864739	15941978	-	XPO6	15864739	
chr14	15951943	15974590	+	SBK1	15951943	
chr14	15982858	15989395	-	LOC110476091	15982858	lncRNA
chr14	16021081	16070690	-	C14H16orf71	16021081	protein_coding
chr14	16070902	16088291	+	ANKS3	16070902	
chr14	16088938	16095381	-	LOC110476092	16088938	protein_coding
chr14	16124187	16181508	+	CLUAP1	16124187	protein_coding
chr14	16182287	16201776	-	NLRC3	16182287	protein_coding
chr14	16194340	16198512	+	LOC110476102	16194340	lncRNA
chr14	16204817	16209007	+	NMRAL1	16204817	protein_coding
chr14	16208652	16218645	-	DNAJA3	16208652	protein_coding
chr14	16219737	16254799	+	CORO7	16219737	protein_coding
chr14	16241359	16248504	-	VASN	16241359	
chr14	16255496	16258029	+	PAM16	16255496	protein_coding
chr14	16259164	16262358	-	GLIS2	16259164	protein_coding
chr14	16269994	16276836	+	TFAP4	16269994	protein_coding
chr14	16279177	16303603	+	SRL	16279177	protein_coding
chr14	16311186	16317883	-	LOC110476094	16311186	lncRNA
chr14	16318392	16410039	+	ADCY9	16318392	
chr14	16430471	16525837	+	CREBBP	16430471	protein_coding
chr14	16528719	16552502	+	TRAP1	16528719	protein_coding
chr14	16559976	16587814	+	SLX4	16559976	protein_coding
chr14	16589064	16597794	+	HMOX2	16589064	protein_coding
chr14	16598076	16617872	-	CDIP1	16598076	
chr14	16622542	16624905	-	LOC110476095	16622542	protein_coding
chr14	16633136	16641192	-	LOC110481457	16633136	protein_coding
chr14	16646134	16695709	+	MGRN1	16646134	
chr14	16696149	16698992	+	NUDT16L1	16696149	protein_coding
chr14	16699530	16718911	-	NAA60	16699530	protein_coding
chr14	16719976	16728512	-	C14H7orf26	16719976	protein_coding
chr14	16731279	16734419	+	LOC110481455	16731279	protein_coding
chr14	16735966	16739091	+	LOC110481454	16735966	protein_coding
chr14	16739327	16745236	-	ECI1	16739327	protein_coding
chr14	16746402	16748150	+	PTX4	16746402	protein_coding
chr14	16749430	16766031	+	LOC110481452	16749430	protein_coding
chrUn_NW_021818469v1	207	9464	+	LOC110482717	207	protein_coding
chrUn_NW_021819090v1	51	936	+	LOC110474756	51	lncRNA
chrUn_NW_021819507v1	685	2208	-	LOC110468598	685	protein_coding
chr1	16634	41521	-	LCMT2	16634	
chr1	41567	45737	+	LOC110474963	41567	lncRNA
chr1	61571	105191	+	DCHS1	61571	
chr1	106965	108111	-	LOC110474961	106965	lncRNA
chr1	108172	113800	+	TPP1	108172	protein_coding
chr1	113961	115690	+	TAF10	113961	protein_coding
chr1	116181	122582	-	ILK	116181	protein_coding
chr1	122687	125332	+	RRP8	122687	protein_coding
chr1	125370	132301	+	LOC110474956	125370	protein_coding
chr1	132687	133579	-	TIMM10B	132687	protein_coding
chr1	133573	139174	+	ARFIP2	133573	protein_coding
chr1	141434	150079	+	TRIM3	141434	protein_coding
chr1	152568	159561	+	APBB1	152568	protein_coding
chr1	159952	163977	-	SMPD1	159952	protein_coding
chr1	164774	167865	-	CCKBR	164774	protein_coding
chr1	168260	170499	-	CNGA4	168260	protein_coding
chr1	173834	182222	+	FAM160A2	173834	protein_coding
chr1	184312	186466	+	RPS11	184312	protein_coding
chr1	185605	185688	+	LOC116184337	185605	snoRNA
chr1	186108	186194	+	LOC116184336	186108	snoRNA
chr1	194666	195846	+	LOC110474967	194666	protein_coding
chr1	210373	211527	+	LOC110474932	210373	protein_coding
chr1	233331	236538	-	LOC110474966	233331	protein_coding
chr1	243932	246611	-	LOC116184236	243932	lncRNA
chr1	257014	258391	+	LOC110474953	257014	protein_coding
chr1	261216	262801	+	LOC110474952	261216	protein_coding
chr1	264399	265929	+	LOC110474951	264399	protein_coding
chr1	286353	289604	-	LOC110474931	286353	protein_coding
chr1	291381	292568	-	LOC110474965	291381	protein_coding
chr1	338760	341236	-	CHRNA10	338760	protein_coding
chr1	342605	377339	-	NUP98	342605	protein_coding
chr1	377912	396132	+	PGAP2	377912	protein_coding
chr1	398953	400193	-	RHOG	398953	protein_coding
chr1	410549	485603	+	STIM1	410549	
chr1	489136	507661	+	RRM1	489136	protein_coding
chr1	587832	589156	+	LOC110474927	587832	protein_coding
chr1	590926	594713	+	LOC110474926	590926	lncRNA
chr1	677909	690732	+	IFNAR2	677909	
chr1	691704	701888	+	LOC110474925	691704	protein_coding
chr1	716892	742691	+	IFNAR1	716892	
chr1	777352	788420	-	TMEM50B	777352	protein_coding
chr1	792040	795264	-	DNAJC28	792040	protein_coding
chr1	806752	916265	-	ITSN1	806752	
chr1	916173	930485	+	CRYZL1	916173	protein_coding
chr1	931910	938817	+	DONSON	931910	protein_coding
chr1	940154	977684	-	SON	940154	
chr1	979686	985641	+	LOC110474923	979686	lncRNA
chr1	997124	1032506	+	GART	997124	protein_coding
chr1	1034819	1060609	-	LOC110479231	1034819	protein_coding
chr1	1070653	1074498	-	ATP5PO	1070653	protein_coding
chr1	1145912	1191958	+	MRPS6	1145912	protein_coding
chr1	1159537	1167636	+	SLC5A3	1159537	
chr1	1182039	1186492	-	LOC110479229	1182039	lncRNA
chr1	1309790	1310477	+	KCNE2	1309790	protein_coding
chr1	1312109	1321896	+	SMIM11A	1312109	protein_coding
chr1	1364175	1395400	-	KCNE1	1364175	protein_coding
chr1	1422433	1463653	-	RCAN1	1422433	protein_coding
chr1	1482102	1508486	+	CLIC6	1482102	protein_coding
chr1	1576460	1675622	-	RUNX1	1576460	
chr1	2129076	2141242	-	SETD4	2129076	
chr1	2141212	2147063	+	LOC110475373	2141212	protein_coding
chr1	2153787	2204402	+	DOP1B	2153787	protein_coding
chr1	2207945	2226392	+	MORC3	2207945	protein_coding
chr1	2233111	2245171	+	LOC110469075	2233111	protein_coding
chr1	2247666	2260981	+	CHAF1B	2247666	protein_coding
chr1	2273557	2274388	-	CLDN14	2273557	protein_coding
chr1	2390920	2394698	+	LOC110469059	2390920	protein_coding
chr1	2418967	2456337	+	LOC110469058	2418967	
chr1	2448066	2576962	-	HLCS	2448066	protein_coding
chr1	2583368	2587715	-	LOC116184248	2583368	lncRNA
chr1	2583596	2590294	+	LOC116184251	2583596	lncRNA
chr1	2600089	2656539	+	TTC3	2600089	protein_coding
chr1	2656853	2670725	-	VPS26C	2656853	protein_coding
chr1	2688723	2767724	+	DYRK1A	2688723	
chr1	2784354	2962946	-	KCNJ6	2784354	
chr1	3124407	3129584	+	KCNJ15	3124407	protein_coding
chr1	3169008	3232884	-	ERG	3169008	
chr1	3314903	3327795	+	LOC110469074	3314903	lncRNA
chr1	3387046	3401740	+	ETS2	3387046	protein_coding
chr1	3484039	3487536	-	LOC110469073	3484039	lncRNA
chr1	3533208	3543759	-	PSMG1	3533208	
chr1	3544844	3588371	-	BRWD1	3544844	
chr1	3591448	3597796	-	HMGN1	3591448	protein_coding
chr1	3596265	3601751	+	GET1	3596265	protein_coding
chr1	3620030	3645263	+	LOC110469069	3620030	protein_coding
chr1	3632873	3640063	-	LOC116184253	3632873	lncRNA
chr1	3673222	3692339	+	B3GALT5	3673222	
chr1	3706626	3735522	+	IGSF5	3706626	protein_coding
chr1	3755462	3806029	+	PCP4	3755462	
chr1	3784498	3786138	+	LOC116184270	3784498	lncRNA
chr1	3845556	4303325	-	DSCAM	3845556	
chr1	4302751	4337770	+	LOC110469072	4302751	lncRNA
chr1	4470040	4527267	+	BACE2	4470040	
chr1	4533436	4547000	+	FAM3B	4533436	protein_coding
chr1	4567133	4585638	+	LOC110475866	4567133	protein_coding
chr1	4589077	4603298	-	TMPRSS2	4589077	protein_coding
chr1	4681591	4705405	-	RIPK4	4681591	
chr1	4718303	4722207	-	LOC116184254	4718303	lncRNA
chr1	4729481	4771253	-	PRDM15	4729481	
chr1	4775194	4814146	-	C2CD2	4775194	
chr1	4822816	4841502	-	ZBTB21	4822816	protein_coding
chr1	4871036	4915187	+	UMODL1	4871036	protein_coding
chr1	4978037	4984937	-	LOC116184382	4978037	lncRNA
chr1	4984481	5041278	+	ABCG1	4984481	protein_coding
chr1	5048644	5052021	-	LOC110475863	5048644	protein_coding
chr1	5076048	5091451	-	TMPRSS3	5076048	protein_coding
chr1	5096452	5117905	+	UBASH3A	5096452	protein_coding
chr1	5131144	5138893	-	RSPH1	5131144	protein_coding
chr1	5149664	5169552	+	LOC110475876	5149664	protein_coding
chr1	5170488	5200642	+	LOC110483545	5170488	protein_coding
chr1	5212925	5214544	+	LOC110483546	5212925	lncRNA
chr1	5230797	5284933	+	PDE9A	5230797	
chr1	5305282	5325433	-	WDR4	5305282	protein_coding
chr1	5325466	5333124	+	NDUFV3	5325466	protein_coding
chr1	5350346	5391941	+	PKNOX1	5350346	
chr1	5403914	5416821	-	LOC110479436	5403914	protein_coding
chr1	5435945	5461718	-	LOC110479435	5435945	protein_coding
chr1	5470371	5487056	-	U2AF1	5470371	protein_coding
chr1	5511219	5512648	+	LOC110479438	5511219	protein_coding
chr1	5517241	5519707	+	LOC110479434	5517241	protein_coding
chr1	5600513	5610318	-	LOC116184257	5600513	lncRNA
chr1	5692745	5705730	-	SIK1	5692745	
chr1	5788397	5818848	-	HSF2BP	5788397	protein_coding
chr1	5819872	5842205	+	RRP1B	5819872	protein_coding
chr1	5854843	5900024	+	PDXK	5854843	protein_coding
chr1	5943436	5950078	-	LOC110475683	5943436	lncRNA
chr1	5950149	6043052	+	AGPAT3	5950149	
chr1	6054001	6091467	+	TRAPPC10	6054001	protein_coding
chr1	6093539	6108818	+	PWP2	6093539	protein_coding
chr1	6109698	6116974	+	GATD3A	6109698	protein_coding
chr1	6119526	6154802	-	LOC110475681	6119526	
chr1	6166120	6181818	-	ICOSLG	6166120	protein_coding
chr1	6237797	6238434	-	LOC110475695	6237797	lncRNA
chr1	6240617	6330330	+	LOC116184550	6240617	lncRNA
chr1	6350397	6395986	+	LOC110475696	6350397	
chr1	6469502	6472842	-	LOC116184559	6469502	lncRNA
chr1	6526724	6536387	+	LOC116184561	6526724	lncRNA
chr1	6581439	6591559	+	LOC116184563	6581439	lncRNA
chr1	6595797	6621435	+	DIPK2B	6595797	protein_coding
chr1	6637491	6788298	-	KDM6A	6637491	protein_coding
chr1	6789453	6795548	+	LOC116184609	6789453	lncRNA
chr1	6822824	6842754	+	FUNDC1	6822824	
chr1	6857835	6911995	+	EFHC2	6857835	protein_coding
chr1	6959469	6971917	-	LOC116184636	6959469	lncRNA
chr1	6971219	6998480	+	NDP	6971219	
chr1	7011969	7062179	+	LOC110474874	7011969	protein_coding
chr1	7071090	7105387	-	LOC110474872	7071090	protein_coding
chr1	7466349	7511700	-	LOC110474871	7466349	lncRNA
chr1	7511274	7746368	+	CASK	7511274	
chr1	7611523	7614187	-	LOC110483334	7611523	protein_coding
chr1	7617736	7622078	-	LOC110483332	7617736	protein_coding
chr1	7638635	7641299	-	LOC110482930	7638635	protein_coding
chr1	7644848	7649189	-	LOC110482929	7644848	protein_coding
chr1	7755767	7762750	-	NYX	7755767	protein_coding
chr1	7789828	7806959	-	DDX3X	7789828	protein_coding
chr1	7820412	7830835	+	LOC110479109	7820412	lncRNA
chr1	7821524	7821969	+	LOC116184807	7821524	lncRNA
chr1	7832997	7836521	+	RPL8	7832997	protein_coding
chr1	7840864	7942883	-	USP9X	7840864	
chr1	7966179	7994671	-	LOC116184808	7966179	lncRNA
chr1	7996655	8031341	+	MED14	7996655	protein_coding
chr1	8045852	8073617	-	ATP6AP2	8045852	protein_coding
chr1	8197778	8200031	-	LOC116184811	8197778	lncRNA
chr1	8212131	8271456	+	BCOR	8212131	protein_coding
chr1	8354153	8359574	-	LOC110483237	8354153	lncRNA
chr1	8357821	8360011	+	LOC116184259	8357821	lncRNA
chr1	8638606	8643348	-	MID1IP1	8638606	
chr1	8669754	8762432	-	TSPAN7	8669754	
chr1	8762525	8770249	+	LOC116184816	8762525	lncRNA
chr1	8807282	8835962	-	OTC	8807282	protein_coding
chr1	8839776	8893360	+	RPGR	8839776	
chr1	8878347	8893360	+	LOC110483278	8878347	protein_coding
chr1	8899882	8941274	+	SRPX	8899882	
chr1	8944058	9024079	-	SYTL5	8944058	protein_coding
chr1	8955718	8963354	+	LOC110483287	8955718	lncRNA
chr1	9038076	9045643	+	DYNLT3	9038076	protein_coding
chr1	9057899	9077458	-	LOC110483221	9057899	protein_coding
chr1	9085797	9103317	-	XK	9085797	protein_coding
chr1	9105219	9141449	-	LANCL3	9105219	protein_coding
chr1	9141165	9151872	+	LOC110483284	9141165	lncRNA
chr1	9177180	9192768	-	PRRG1	9177180	protein_coding
chr1	9243853	9502278	+	CFAP47	9243853	protein_coding
chr1	9744284	9768570	+	TMEM47	9744284	protein_coding
chr1	9904362	9925858	+	LOC110483259	9904362	lncRNA
chr1	9972717	9979068	-	LOC110483256	9972717	lncRNA
chr1	9990834	10003062	+	LOC116184264	9990834	lncRNA
chr1	10029477	10040508	+	LOC116184265	10029477	lncRNA
chr1	10159768	11209098	+	DMD	10159768	
chr1	10213531	10218335	-	LOC110483274	10213531	lncRNA
chr1	11275129	11318955	+	TAB3	11275129	protein_coding
chr1	11317766	11319776	-	LOC116184829	11317766	lncRNA
chr1	11322365	11377079	-	GK	11322365	protein_coding
chr1	11396527	11404523	+	C1HXorf21	11396527	protein_coding
chr1	11496725	11499837	+	NR0B1	11496725	protein_coding
chr1	11616980	12299066	-	IL1RAPL1	11616980	
chr1	11728983	11738277	-	LOC110483264	11728983	lncRNA
chr1	12028619	12038613	-	LOC110483263	12028619	lncRNA
chr1	12507998	12516549	+	LOC116184830	12507998	lncRNA
chr1	12545429	12559361	-	LOC116184268	12545429	lncRNA
chr1	12821737	12975541	-	LOC116184831	12821737	lncRNA
chr1	13337294	13345308	+	ARX	13337294	
chr1	13348954	13531222	-	POLA1	13348954	protein_coding
chr1	13502037	13502167	-	transcript_id XR_004149114.1	13502037	product small Cajal body-specific RNA 24;
chr1	13534491	13578291	+	PCYT1B	13534491	protein_coding
chr1	13579373	13634873	-	PDK3	13579373	
chr1	13661813	13672402	-	LOC110483226	13661813	protein_coding
chr1	13689605	13713772	-	ZFX	13689605	protein_coding
chr1	13724051	13742470	-	EIF2S3	13724051	
chr1	13746678	13770870	+	KLHL15	13746678	
chr1	13780923	13814940	+	APOO	13780923	
chr1	13826173	13828996	-	SAT1	13826173	protein_coding
chr1	13834191	13857773	+	ACOT9	13834191	protein_coding
chr1	13861239	13869155	-	PRDX4	13861239	protein_coding
chr1	13915257	13926382	+	LOC116184269	13915257	lncRNA
chr1	13941125	13986143	-	PTCHD1	13941125	
chr1	13994679	13997683	-	LOC110483240	13994679	lncRNA
chr1	14140444	14466007	+	LOC110483230	14140444	lncRNA
chr1	14398444	14499236	-	PHEX	14398444	
chr1	14468655	14477959	+	LOC110483233	14468655	lncRNA
chr1	14515831	14564467	-	SMS	14515831	
chr1	14585499	14626034	-	MBTPS2	14585499	protein_coding
chr1	14637917	14659364	+	SMPX	14637917	protein_coding
chr1	14696904	14701293	+	KLHL34	14696904	
chr1	14700554	14907104	-	CNKSR2	14700554	
chr1	14907177	14923286	+	LOC110483267	14907177	lncRNA
chr1	15242818	15316169	+	RPS6KA3	15242818	protein_coding
chr1	15317754	15326820	+	EIF1AX	15317754	protein_coding
chr1	15349748	15428643	+	MAP7D2	15349748	
chr1	15437417	15471807	+	BCLAF3	15437417	protein_coding
chr1	15472899	15698621	+	SH3KBP1	15472899	
chr1	15702815	15783693	+	MAP3K15	15702815	protein_coding
chr1	15783808	15795983	-	PDHA1	15783808	protein_coding
chr1	15857960	15915481	+	ADGRG2	15857960	protein_coding
chr1	15918476	15964492	+	PHKA2	15918476	protein_coding
chr1	15965250	16000194	-	PPEF1	15965250	protein_coding
chr1	16005736	16005808	+	TRNAV-UAC	16005736	tRNA
chr1	16010424	16023191	+	RS1	16010424	protein_coding
chr1	16027419	16168475	-	CDKL5	16027419	
chr1	16195675	16277649	+	SCML2	16195675	
chr1	16220365	16221094	-	LOC116183152	16220365	lncRNA
chr1	16269072	16322269	-	RAI2	16269072	
chr1	16430314	16455498	-	BEND2	16430314	
chr1	16462827	16709919	-	NHS	16462827	
chr1	16781588	16872399	-	REPS2	16781588	
chr1	16899296	16908269	+	RBBP7	16899296	protein_coding
chr1	16914669	16939052	-	TXLNG	16914669	protein_coding
chr1	16940628	16963953	-	SYAP1	16940628	
chr1	16964149	17026651	+	CTPS2	16964149	
chr1	17186135	17206915	-	GRPR	17186135	protein_coding
chr1	17240203	17321178	-	LOC110471617	17240203	lncRNA
chr1	17321661	17352493	+	AP1S2	17321661	protein_coding
chr1	17352556	17371357	-	ZRSR2	17352556	protein_coding
chr1	17378227	17401095	+	CLTRN	17378227	protein_coding
chr1	17411246	17436333	+	ACE2	17411246	protein_coding
chr1	17513808	17544497	+	VEGFD	17513808	protein_coding
chr1	17556155	17565342	+	PIGA	17556155	protein_coding
chr1	17568841	17581816	+	ASB11	17568841	protein_coding
chr1	17595024	17605144	+	LOC110471621	17595024	protein_coding
chr1	17609576	17621803	+	LOC110471599	17609576	protein_coding
chr1	17793470	17825767	-	MOSPD2	17793470	protein_coding
chr1	17826028	17839647	+	FANCB	17826028	protein_coding
chr1	17874404	18004242	-	GLRA2	17874404	protein_coding
chr1	17966072	17968457	+	LOC116183193	17966072	lncRNA
chr1	18232959	18260556	+	GEMIN8	18232959	protein_coding
chr1	18346619	18379696	+	GPM6B	18346619	protein_coding
chr1	18379954	18409754	-	OFD1	18379954	
chr1	18409983	18415836	+	TRAPPC2	18409983	protein_coding
chr1	18417653	18428564	-	RAB9A	18417653	protein_coding
chr1	18434335	18447494	-	TCEANC	18434335	protein_coding
chr1	18457740	18487990	-	EGFL6	18457740	protein_coding
chr1	18773723	18775350	-	TMSB4X	18773723	protein_coding
chr1	18849224	18872286	-	PRPS2	18849224	protein_coding
chr1	18899358	19217330	-	FRMPD4	18899358	
chr1	19079811	19155741	+	TLR7	19079811	
chr1	19342455	19365447	-	MSL3	19342455	protein_coding
chr1	19383741	19398232	-	LOC110469209	19383741	
chr1	19430103	19430520	-	LOC110469218	19430103	protein_coding
chr1	19559510	19660719	+	LOC116183201	19559510	protein_coding
chr1	19681799	19716939	+	ARHGAP6	19681799	protein_coding
chr1	19835618	19858490	-	LOC110469222	19835618	lncRNA
chr1	19924225	20069520	+	MID1	19924225	
chr1	20147437	20198382	-	CLCN4	20147437	
chr1	20201196	20297416	-	WWC3	20201196	protein_coding
chr1	20314308	20315616	-	LOC116183754	20314308	protein_coding
chr1	20327425	20331149	-	CLDN34	20327425	protein_coding
chr1	20337954	20462839	-	SHROOM2	20337954	
chr1	20475990	20489002	+	GPR143	20475990	protein_coding
chr1	20501034	20692512	-	TBL1X	20501034	
chr1	20602086	20604966	+	LOC116183207	20602086	lncRNA
chr1	20742619	20743363	+	LOC110469210	20742619	lncRNA
chr1	20936269	20938993	+	LOC110469211	20936269	lncRNA
chr1	20982108	21117057	+	ANOS1	20982108	protein_coding
chr1	21408791	21428524	+	PNPLA4	21408791	protein_coding
chr1	21612230	21711746	-	STS	21612230	
chr1	21722818	21724317	-	LOC116183212	21722818	lncRNA
chr1	21724120	21792202	+	PUDP	21724120	protein_coding
chr1	22140484	22307786	+	NLGN4X	22140484	
chr1	23417575	23479139	+	PRKX	23417575	
chr1	23598516	23615088	+	MXRA5	23598516	protein_coding
chr1	23758026	24121446	+	MYO16	23758026	
chr1	24330811	24359666	-	IRS2	24330811	protein_coding
chr1	24375782	24376690	+	LOC116184275	24375782	lncRNA
chr1	24495802	24616314	-	COL4A1	24495802	protein_coding
chr1	24616304	24764158	+	COL4A2	24616304	
chr1	24769114	24796625	-	RAB20	24769114	protein_coding
chr1	24835421	24886656	+	NAXD	24835421	protein_coding
chr1	24887616	24922375	-	CARS2	24887616	protein_coding
chr1	24930923	24937433	+	ING1	24930923	protein_coding
chr1	24976314	25013707	-	ANKRD10	24976314	protein_coding
chr1	25051974	25168089	+	ARHGEF7	25051974	
chr1	25129128	25130280	+	LOC116183219	25129128	lncRNA
chr1	25282878	25285670	+	LOC116183221	25282878	lncRNA
chr1	25483728	25484349	+	LOC116183222	25483728	lncRNA
chr1	25559029	25563270	+	SOX1	25559029	
chr1	25636186	25637671	-	LOC116184276	25636186	lncRNA
chr1	25719223	25774533	-	TUBGCP3	25719223	protein_coding
chr1	25814772	25932433	+	ATP11A	25814772	protein_coding
chr1	25944317	26096946	+	MCF2L	25944317	protein_coding
chr1	26104190	26112595	+	LOC110478744	26104190	protein_coding
chr1	26120924	26131365	+	F10	26120924	protein_coding
chr1	26157255	26167912	+	PROZ	26157255	protein_coding
chr1	26168404	26180466	-	PCID2	26168404	protein_coding
chr1	26181324	26215245	+	CUL4A	26181324	protein_coding
chr1	26219027	26237647	+	LAMP1	26219027	protein_coding
chr1	26239067	26273323	-	GRTP1	26239067	protein_coding
chr1	26306792	26327153	-	ADPRHL1	26306792	protein_coding
chr1	26329939	26353720	-	DCUN1D2	26329939	
chr1	26353982	26390377	+	TMCO3	26353982	
chr1	26391817	26429212	+	TFDP1	26391817	protein_coding
chr1	26438332	26444627	-	ATP4B	26438332	protein_coding
chr1	26473029	26541244	+	TMEM255B	26473029	
chr1	26540877	26581663	-	GAS6	26540877	
chr1	26626998	26756219	-	RASA3	26626998	protein_coding
chr1	26799774	26822154	+	CDC16	26799774	
chr1	26822932	26849910	+	UPF3A	26822932	
chr1	26857245	26868943	+	CHAMP1	26857245	protein_coding
chr1	26882845	26935685	+	SEPTIN10	26882845	protein_coding
chr1	26908038	26912938	-	SOWAHC	26908038	protein_coding
chr1	26956720	27203454	-	SH3RF3	26956720	protein_coding
chr1	27238731	27309676	+	EDAR	27238731	protein_coding
chr1	27317496	27340221	-	CCDC138	27317496	protein_coding
chr1	27346064	27379441	-	LOC110478774	27346064	protein_coding
chr1	27382683	27394318	-	LIMS1	27382683	protein_coding
chr1	27402102	27405777	+	LOC110478739	27402102	lncRNA
chr1	27456577	27486349	-	GCC2	27456577	protein_coding
chr1	27493225	27500446	-	SULT1C4	27493225	protein_coding
chr1	27527570	27542418	+	LOC116184277	27527570	lncRNA
chr1	27587854	27612957	-	SLC5A7	27587854	
chr1	27818735	27990664	+	ST6GAL2	27818735	
chr1	27978552	28057327	-	LOC110478727	27978552	
chr1	28120172	28130006	-	LOC116184282	28120172	lncRNA
chr1	28161666	28216710	+	UXS1	28161666	protein_coding
chr1	28222799	28228756	-	ECRG4	28222799	protein_coding
chr1	28284396	28375611	-	NCK2	28284396	
chr1	28462432	28518164	+	FHL2	28462432	protein_coding
chr1	28520429	28528925	-	C1H2orf49	28520429	protein_coding
chr1	28533380	28569752	+	TGFBRAP1	28533380	protein_coding
chr1	28595874	28630187	-	MRPS9	28595874	protein_coding
chr1	28701524	28704259	+	LOC116183241	28701524	lncRNA
chr1	28707084	28713035	-	POU3F3	28707084	
chr1	28716241	28756387	+	LOC110474635	28716241	lncRNA
chr1	28721096	28725782	-	LOC116183242	28721096	lncRNA
chr1	28763979	28765546	+	LOC110474662	28763979	lncRNA
chr1	28781959	28930089	-	LOC110474669	28781959	lncRNA
chr1	29048910	29055408	+	LOC110474672	29048910	lncRNA
chr1	29076041	29164974	-	LOC110474673	29076041	lncRNA
chr1	29392463	29407351	-	LOC110474680	29392463	lncRNA
chr1	29482345	29522171	-	LOC116183245	29482345	lncRNA
chr1	29606725	29626659	-	TMEM182	29606725	protein_coding
chr1	29636589	29645405	+	MFSD9	29636589	protein_coding
chr1	29650297	29683478	-	SLC9A2	29650297	protein_coding
chr1	29704966	29737040	-	SLC9A4	29704966	protein_coding
chr1	29739948	29758686	-	IL18RAP	29739948	protein_coding
chr1	29761755	29782442	-	IL18R1	29761755	
chr1	29788667	29811442	-	IL1RL1	29788667	protein_coding
chr1	29812721	29843359	-	LOC110474715	29812721	protein_coding
chr1	29861637	29882206	-	LOC110474740	29861637	protein_coding
chr1	29922912	29936598	-	IL1R2	29922912	
chr1	29956031	30118954	-	MAP4K4	29956031	protein_coding
chr1	30118899	30132031	+	LOC110474783	30118899	protein_coding
chr1	30160298	30188385	+	RFX8	30160298	protein_coding
chr1	30194154	30213631	+	CREG2	30194154	protein_coding
chr1	30216882	30239970	+	RNF149	30216882	protein_coding
chr1	30237566	30237678	+	LOC116184356	30237566	snoRNA
chr1	30242024	30253907	-	CNOT11	30242024	protein_coding
chr1	30275648	30324403	+	TBC1D8	30275648	protein_coding
chr1	30324932	30329894	-	RPL31	30324932	protein_coding
chr1	30333111	30437451	-	NPAS2	30333111	protein_coding
chr1	30532033	30548057	-	PDCL3	30532033	
chr1	30552153	30552572	+	LOC110474900	30552153	protein_coding
chr1	30559804	30565768	-	LOC110474977	30559804	lncRNA
chr1	30581487	30607582	+	CHST10	30581487	
chr1	30620415	30654451	+	LONRF2	30620415	protein_coding
chr1	30713089	31041586	+	AFF3	30713089	
chr1	30963611	30968526	-	LOC110474856	30963611	lncRNA
chr1	31041949	31042334	-	LOC116183254	31041949	lncRNA
chr1	31052781	31056994	-	LOC110474859	31052781	lncRNA
chr1	31064062	31068277	-	LOC110479409	31064062	lncRNA
chr1	31067496	31122664	+	REV1	31067496	protein_coding
chr1	31124803	31160786	-	EIF5B	31124803	protein_coding
chr1	31162780	31172778	+	TXNDC9	31162780	protein_coding
chr1	31182376	31185006	+	LOC110479378	31182376	protein_coding
chr1	31198278	31200761	-	MRPL30	31198278	protein_coding
chr1	31200670	31205691	+	MITD1	31200670	protein_coding
chr1	31203967	31208528	-	LIPT1	31203967	protein_coding
chr1	31233314	31235794	-	LOC110479403	31233314	lncRNA
chr1	31256191	31297475	+	KIAA1211L	31256191	protein_coding
chr1	31312321	31389974	+	MGAT4A	31312321	protein_coding
chr1	31389891	31394869	-	UNC50	31389891	protein_coding
chr1	31394760	31399830	+	LOC110479399	31394760	protein_coding
chr1	31404570	31512363	+	INPP4A	31404570	
chr1	31524426	31617126	-	TMEM131	31524426	protein_coding
chr1	31525398	31528969	+	LOC116183262	31525398	lncRNA
chr1	31650116	31709466	+	VWA3B	31650116	protein_coding
chr1	31714820	31726125	-	LOC110479363	31714820	lncRNA
chr1	31729835	31759152	+	CNGA3	31729835	
chr1	31760076	31820607	-	UBE3A	31760076	
chr1	31920329	32030839	-	ATP10A	31920329	protein_coding
